==========================================
SLURM_JOB_ID = 6156120
SLURM_JOB_NODELIST = d18-30
TMPDIR = /tmp/SLURM_6156120
==========================================
10_10_15_01_10_462 [22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46] [Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Sigmoid()] 100 0.001 15
Epoch 74: Loss = 0.42317, Training (Code) = 0.12644, Validation (Code) = 0.12546, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99992, Validation (Z) = 1.0
Epoch 75: Loss = 0.42317, Training (Code) = 0.1271, Validation (Code) = 0.12621, Training (X) = 0.99992, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 76: Loss = 0.42317, Training (Code) = 0.1258, Validation (Code) = 0.12596, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 77: Loss = 0.42317, Training (Code) = 0.12658, Validation (Code) = 0.12612, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 78: Loss = 0.42317, Training (Code) = 0.12739, Validation (Code) = 0.12779, Training (X) = 1.0, Validation (X) = 0.99967, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 79: Loss = 0.42317, Training (Code) = 0.12469, Validation (Code) = 0.12637, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 80: Loss = 0.42317, Training (Code) = 0.12464, Validation (Code) = 0.12433, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 81: Loss = 0.42317, Training (Code) = 0.12593, Validation (Code) = 0.12487, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99992, Validation (Z) = 1.0
Epoch 82: Loss = 0.42317, Training (Code) = 0.1267, Validation (Code) = 0.12829, Training (X) = 0.99992, Validation (X) = 0.99968, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 83: Loss = 0.42317, Training (Code) = 0.12622, Validation (Code) = 0.12383, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 84: Loss = 0.42317, Training (Code) = 0.12526, Validation (Code) = 0.12458, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 85: Loss = 0.42317, Training (Code) = 0.12558, Validation (Code) = 0.1265, Training (X) = 0.99992, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 86: Loss = 0.42317, Training (Code) = 0.12631, Validation (Code) = 0.12679, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 87: Loss = 0.42317, Training (Code) = 0.12679, Validation (Code) = 0.12704, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 88: Loss = 0.42317, Training (Code) = 0.12789, Validation (Code) = 0.12442, Training (X) = 0.99992, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 89: Loss = 0.42317, Training (Code) = 0.12676, Validation (Code) = 0.12467, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99992, Validation (Z) = 1.0
Epoch 90: Loss = 0.42317, Training (Code) = 0.12582, Validation (Code) = 0.12304, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 91: Loss = 0.42317, Training (Code) = 0.12724, Validation (Code) = 0.12612, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 92: Loss = 0.42317, Training (Code) = 0.12551, Validation (Code) = 0.12525, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99992, Validation (Z) = 1.0
Epoch 93: Loss = 0.42317, Training (Code) = 0.12615, Validation (Code) = 0.12596, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 94: Loss = 0.42317, Training (Code) = 0.12587, Validation (Code) = 0.12712, Training (X) = 0.99992, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 95: Loss = 0.42317, Training (Code) = 0.12567, Validation (Code) = 0.1265, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 96: Loss = 0.42317, Training (Code) = 0.12518, Validation (Code) = 0.12408, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99992, Validation (Z) = 1.0
Epoch 97: Loss = 0.42317, Training (Code) = 0.1243, Validation (Code) = 0.1225, Training (X) = 0.99992, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 98: Loss = 0.42317, Training (Code) = 0.12532, Validation (Code) = 0.12262, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 99: Loss = 0.42317, Training (Code) = 0.12609, Validation (Code) = 0.12687, Training (X) = 0.99992, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 100: Loss = 0.42317, Training (Code) = 0.12648, Validation (Code) = 0.12546, Training (X) = 1.0, Validation (X) = 0.99967, Training (Z) = 1.0, Validation (Z) = 1.0
