==========================================
SLURM_JOB_ID = 6150673
SLURM_JOB_NODELIST = d23-10
TMPDIR = /tmp/SLURM_6150673
==========================================
Epoch 85: Loss = 0.46727, Training (Code) = 0.37239, Validation (Code) = 0.376, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 86: Loss = 0.46722, Training (Code) = 0.37302, Validation (Code) = 0.37642, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 0.99994, Validation (Z) = 1.0
Epoch 87: Loss = 0.46717, Training (Code) = 0.3734, Validation (Code) = 0.37292, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 88: Loss = 0.46712, Training (Code) = 0.37504, Validation (Code) = 0.37758, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 89: Loss = 0.46707, Training (Code) = 0.3735, Validation (Code) = 0.37746, Training (X) = 0.99997, Validation (X) = 0.99989, Training (Z) = 0.99992, Validation (Z) = 0.99989
Epoch 90: Loss = 0.46702, Training (Code) = 0.37419, Validation (Code) = 0.37662, Training (X) = 0.99992, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 91: Loss = 0.46698, Training (Code) = 0.37375, Validation (Code) = 0.37675, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 92: Loss = 0.46693, Training (Code) = 0.37333, Validation (Code) = 0.37679, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 0.99989
Epoch 93: Loss = 0.46688, Training (Code) = 0.37392, Validation (Code) = 0.37421, Training (X) = 0.99992, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 94: Loss = 0.46683, Training (Code) = 0.37347, Validation (Code) = 0.37875, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 95: Loss = 0.46678, Training (Code) = 0.37505, Validation (Code) = 0.37608, Training (X) = 0.99992, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 0.99989
Epoch 96: Loss = 0.46673, Training (Code) = 0.37338, Validation (Code) = 0.37992, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99994, Validation (Z) = 0.99967
Epoch 97: Loss = 0.46668, Training (Code) = 0.374, Validation (Code) = 0.37679, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 0.99992, Validation (Z) = 1.0
Epoch 98: Loss = 0.46663, Training (Code) = 0.3732, Validation (Code) = 0.37612, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 99: Loss = 0.46657, Training (Code) = 0.37298, Validation (Code) = 0.37825, Training (X) = 1.0, Validation (X) = 0.99989, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 100: Loss = 0.46652, Training (Code) = 0.37325, Validation (Code) = 0.37612, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
